departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,airline_id,unique_carrier_name,region,carrier,carrier_name,carrier_group,carrier_group_new,origin_airport_id,origin_city_market_id,origin,origin_city_name,origin_country,origin_country_name,dest_airport_id,dest_city_market_id,dest,dest_city_name,dest_country,dest_country_name,aircraft_group,aircraft_type,aircraft_config,year,month,distance_group,class,data_source,row_num
0,1,2400,8,2,0,0,588,0,0,13Q,21437,Chartright Air Inc.,I,13Q,Chartright Air Inc.,0,0,11057,31057,CLT,"Charlotte, NC",US,United States,16271,36106,YYZ,"Toronto, Canada",CA,Canada,6,685,1,2019,9,2,L,IF,1
0,1,4888,14,1,0,0,2059,0,0,15Q,21440,Air Alsie A/S,I,15Q,Air Alsie A/S,0,0,10559,30559,BFI,"Seattle, WA",US,United States,16271,36106,YYZ,"Toronto, Canada",CA,Canada,7,725,1,2019,9,5,L,IF,1
0,1,5005,126,25,0,0,1958,0,0,R3,21574,Air Company Yakutia,I,R3,Air Company Yakutia,0,0,10299,30299,ANC,"Anchorage, AK",US,United States,14132,34132,PKC,"Petropavlovsk-Kamchatsky, Russia",RU,Russia,6,612,1,2019,9,4,F,IF,1
0,1,121000,344,318,0,0,5181,0,0,DY,21579,Norwegian Air Shuttle ASA,I,DY,Norwegian Air Shuttle ASA,0,0,12892,32575,LAX,"Los Angeles, CA",US,United States,11435,31435,DUB,"Dublin, Ireland",IE,Ireland,6,889,1,2019,9,11,F,IF,1
0,30,2371983,10080,8474,351749,0,4694,0,0,PS,21608,Ukraine International Airlines,I,PS,Ukraine International Airlines,0,0,12478,31703,JFK,"New York, NY",US,United States,12627,32287,KBP,"Kiev, Ukraine",UA,Ukraine,6,626,1,2019,9,10,F,IF,1
0,1,17600,63,30,0,0,3830,0,0,1ZQ,21630,Comlux Aruba NV,I,1ZQ,Comlux Aruba NV,0,0,16782,36756,DSS,"Dakar Thies, Senegal",SN,Senegal,12478,31703,JFK,"New York, NY",US,United States,6,625,1,2019,9,8,L,IF,1
0,1,35306,162,0,0,0,1559,0,0,BX,21659,Air Busan,I,BX,Air Busan,0,0,13744,32169,NRT,"Tokyo, Japan",JP,Japan,12016,32016,GUM,"Guam, TT",US,United States,6,694,1,2019,9,4,F,IF,1
0,1,35000,155,0,0,0,204,70,40,WL,20310,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",D,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,1,15304,33195,TPA,"Tampa, FL",US,United States,13303,32467,MIA,"Miami, FL",US,United States,6,655,1,2019,9,1,L,DU,1
0,5,179740,888,585,0,0,2402,0,0,JJ,20167,Transportes Aeros Meridiona,I,JJ,Transportes Aeros Meridiona,0,0,13303,32467,MIA,"Miami, FL",US,United States,13166,33166,MAO,"Manaus, Brazil",BR,Brazil,6,694,1,2019,9,5,F,IF,1
0,9,522000,0,0,60310,51784,1854,2367,2088,PFQ,20177,Asia Pacific,I,PFQ,Asia Pacific,1,1,12016,32016,GUM,"Guam, TT",US,United States,13162,33162,MAJ,"Majuro, Marshall Islands",MH,Marshall Islands,6,622,2,2019,9,4,P,IU,1
0,28,3232460,6300,5842,193030,0,4253,0,0,OS,19873,Austrian Airlines,I,OS,Austrian Airlines,0,0,15595,35595,VIE,"Vienna, Austria",AT,Austria,11618,31703,EWR,"Newark, NJ",US,United States,6,626,1,2019,9,9,F,IF,1
0,1,242000,0,0,53998,0,3417,398,371,N8,20405,National Air Cargo Group Inc d/ba National Airlines,D,N8,National Air Cargo Group Inc d/ba National Airlines,2,2,10299,30299,ANC,"Anchorage, AK",US,United States,10397,30397,ATL,"Atlanta, GA",US,United States,8,819,2,2019,9,7,L,DU,1
0,4,77559,376,375,2358,0,1105,0,0,CM,19770,Compania Panamena (Copa),I,CM,Compania Panamena (Copa),0,0,14286,34286,PTY,"Panama City, Panama",PA,Panama,14843,34819,SJU,"San Juan, PR",US,United States,6,678,1,2019,9,3,F,IF,1
0,55,121000,550,493,0,0,70,2200,1980,Z3Q,21022,"PM Air, LLC",D,Z3Q,"PM Air, LLC",1,5,14470,34470,RBN,"Fort Jefferson, FL",US,United States,11624,31624,EYW,"Key West, FL",US,United States,0,42,4,2019,9,1,L,DU,1
0,1,26543,80,54,0,0,3265,0,0,02Q,21040,Titan Airways,I,02Q,Titan Airways,0,0,11435,31435,DUB,"Dublin, Ireland",IE,Ireland,10158,30158,ACY,"Atlantic City, NJ",US,United States,6,622,1,2019,10,7,L,IF,1
